21:45:35 parrot NetworkManager[779]: <info>  [1604592935.9077] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:49:17 parrot NetworkManager[779]: <info>  [1604593157.0479] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:49:17 parrot NetworkManager[779]: <info>  [1604593157.0480] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:49:18 parrot NetworkManager[779]: <info>  [1604593158.9064] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:49:18 parrot NetworkManager[779]: <info>  [1604593158.9065] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:49:20 parrot NetworkManager[779]: <info>  [1604593160.0447] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:49:20 parrot NetworkManager[779]: <info>  [1604593160.0448] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:49:21 parrot NetworkManager[779]: <info>  [1604593161.6795] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:49:21 parrot NetworkManager[779]: <info>  [1604593161.6796] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:49:23 parrot NetworkManager[779]: <info>  [1604593163.0439] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:49:23 parrot NetworkManager[779]: <info>  [1604593163.0440] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:49:25 parrot NetworkManager[779]: <info>  [1604593165.3617] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:49:25 parrot NetworkManager[779]: <info>  [1604593165.3619] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:49:26 parrot NetworkManager[779]: <info>  [1604593166.0465] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:49:26 parrot NetworkManager[779]: <info>  [1604593166.0466] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:49:28 parrot NetworkManager[779]: <info>  [1604593168.6092] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:49:28 parrot NetworkManager[779]: <info>  [1604593168.6093] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:49:29 parrot NetworkManager[779]: <info>  [1604593169.0396] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:49:29 parrot NetworkManager[779]: <info>  [1604593169.0397] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:49:29 parrot NetworkManager[779]: <info>  [1604593169.9861] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:49:29 parrot NetworkManager[779]: <info>  [1604593169.9862] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:49:32 parrot NetworkManager[779]: <info>  [1604593172.0445] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:49:32 parrot NetworkManager[779]: <info>  [1604593172.0446] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:49:32 parrot NetworkManager[779]: <info>  [1604593172.7632] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:49:32 parrot NetworkManager[779]: <info>  [1604593172.7633] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:49:34 parrot NetworkManager[779]: <info>  [1604593174.0453] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:49:34 parrot NetworkManager[779]: <info>  [1604593174.0454] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:49:35 parrot NetworkManager[779]: <info>  [1604593175.5599] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:49:35 parrot NetworkManager[779]: <info>  [1604593175.5600] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:49:43 parrot NetworkManager[779]: <info>  [1604593183.0466] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:49:43 parrot NetworkManager[779]: <info>  [1604593183.0467] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:49:45 parrot NetworkManager[779]: <info>  [1604593185.6079] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:49:45 parrot NetworkManager[779]: <info>  [1604593185.6080] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:49:46 parrot NetworkManager[779]: <info>  [1604593186.0447] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:49:46 parrot NetworkManager[779]: <info>  [1604593186.0448] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:49:48 parrot NetworkManager[779]: <info>  [1604593188.2498] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:49:48 parrot NetworkManager[779]: <info>  [1604593188.2499] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:49:49 parrot NetworkManager[779]: <info>  [1604593189.0454] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:49:49 parrot NetworkManager[779]: <info>  [1604593189.0455] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:49:51 parrot NetworkManager[779]: <info>  [1604593191.0235] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:49:51 parrot NetworkManager[779]: <info>  [1604593191.0236] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:49:51 parrot NetworkManager[779]: <info>  [1604593191.0437] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:49:51 parrot NetworkManager[779]: <info>  [1604593191.0438] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:49:53 parrot NetworkManager[779]: <info>  [1604593193.0225] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:49:53 parrot NetworkManager[779]: <info>  [1604593193.0226] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:49:54 parrot NetworkManager[779]: <info>  [1604593194.0444] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:49:54 parrot NetworkManager[779]: <info>  [1604593194.0445] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:49:55 parrot NetworkManager[779]: <info>  [1604593195.5610] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:49:55 parrot NetworkManager[779]: <info>  [1604593195.5611] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:49:57 parrot NetworkManager[779]: <info>  [1604593197.0442] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:49:57 parrot NetworkManager[779]: <info>  [1604593197.0443] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:49:59 parrot NetworkManager[779]: <info>  [1604593199.6038] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:49:59 parrot NetworkManager[779]: <info>  [1604593199.6039] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:50:07 parrot NetworkManager[779]: <info>  [1604593207.0469] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:50:07 parrot NetworkManager[779]: <info>  [1604593207.0469] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:50:09 parrot NetworkManager[779]: <info>  [1604593209.0217] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:50:09 parrot NetworkManager[779]: <info>  [1604593209.0218] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:50:09 parrot NetworkManager[779]: <info>  [1604593209.0438] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:50:09 parrot NetworkManager[779]: <info>  [1604593209.0439] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:50:10 parrot NetworkManager[779]: <info>  [1604593210.7950] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:50:10 parrot NetworkManager[779]: <info>  [1604593210.7951] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:50:12 parrot NetworkManager[779]: <info>  [1604593212.0440] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:50:12 parrot NetworkManager[779]: <info>  [1604593212.0441] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:50:13 parrot NetworkManager[779]: <info>  [1604593213.7936] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:50:13 parrot NetworkManager[779]: <info>  [1604593213.7936] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:50:14 parrot NetworkManager[779]: <info>  [1604593214.0441] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:50:14 parrot NetworkManager[779]: <info>  [1604593214.0442] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:50:15 parrot NetworkManager[779]: <info>  [1604593215.6736] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:50:15 parrot NetworkManager[779]: <info>  [1604593215.6737] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:50:16 parrot NetworkManager[779]: <info>  [1604593216.0431] device (wlan0): supplicant interface state: disconnected -> scanning
Nov
